"dataset_id";"dataset_titulo";"autor_nome";"organizacao_nome";"dataset_licenca";"dataset_versao";"publicacao_data";"palavras_chave";"area_conhecimento"
"ctb0001";"Conteúdo de ferro do solo sob dois sistemas de cultivo na Estação Experimental Terras Baixas nos anos de 2012 e 2013";"José Maria Filippini Alba";"Embrapa Clima Temperado";"CC BY 4.0";"2.0.1";"24/03/2019";"Sensoriamento remoto; Processamento de imagens; Pedologia";"Gênese, Morfologia e Classificação dos Solos"
"ctb0002";"Classificação taxonômica do solo em Pinheiral, RJ";"Elias Mendes Costa";"Universidade Federal Rural do Rio de Janeiro (UFRRJ)";"CC BY 4.0";"1.0.1";"24/03/2019";"Pedologia; Pedometria; Sensoriamento remoto; Relação solo-paisagem";"Gênese, Morfologia e Classificação dos Solos"
"ctb0003";"Conjunto de dados do solo da bacia do reservatório do DNOS-CORSAN, Santa Maria, RS";"Alessandro Samuel-Rosa";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.0.0";"24-03-2019";"Mapeamento digital do solo; Pedometria; Amostragem intencional; Descrição do solo no campo";"Gênese, Morfologia e Classificação dos Solos"
"ctb0004";"Conjunto de dados da tese 'Fate of fipronil in soils under sugar cane cultivation from the northeast of Brazil: sorption and degradation'";"Carmem Sueze Miranda Masutti";"University of Saskatchewan (U of S)";"CC BY 4.0";"2.0.1";"24-03-2019";"Fipronil; Solos tropicais; Adsorção; Desorção; Goethita";"Química do Solo"
"ctb0005";"Conjunto de dados da dissertação 'Identificação do limite entre solo e saprolito em Argissolos Bruno-Acinzentados derivados de rochas sedimentares'";"Rodrigo Bomicieli Oliveira";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.10.0";"24-03-2019";"Argissolos; Morfologia; Estrutura; Cor; Saprolito; Material sedimentar";"Gênese, Morfologia e Classificação dos Solos"
"ctb0006";"Zoneamento edáfico de culturas para o município de Santa Maria - RS, visando o ordenamento territorial";"Carlos Alberto Flores";"Embrapa Clima Temperado";"CC BY 4.0";"1.0.3";"24-03-2019";"Zoneamento climático; Solo; Aptidão agrícola; Recurso natural; Rio Grande do Sul";"Gênese, Morfologia e Classificação dos Solos"
"ctb0007";"Conjunto de dados da dissertação 'Avaliação da cor e comportamento espectral de algumas classes de solos do Rio Grande do Sul'";"Márcio Ramos Botelho";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-01-2018";"Cor do solo; Espectrorradiometria; Sensoriamento remoto";"Gênese, Morfologia e Classificação dos Solos"
"ctb0008";"Conjunto de dados do artigo 'Caracterização de solos com a chernozêmico na Zona da Mata norte do estado de Pernambuco'";"Carmem Sueze Silva Miranda";"Universidade Federal Rural de Pernambuco (UFRPE)";"CC BY 4.0";"2.1";"29-01-2018";"A chernozêmico; Pedografia; Mineralogia";"Gênese, Morfologia e Classificação dos Solos"
"ctb0009";"Conjunto de dados da tese 'Variáveis pedogeoquímicas e mineralógicas na identificação de fontes de sedimentos em uma bacia hidrográfica de encosta'";"Pablo Miguel";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.2";"29-01-2018";"Fingerprinting; Elementos traçadores; Erosão hídrica; Áreas de encosta; Mineralogia;";"Manejo e Conservação do Solo"
"ctb0010";"Conjunto de dados da dissertação 'Substâncias húmicas em solos de diferentes feições geomorfológicas no rebordo do planalto do Rio Grande do Sul'";"Fábio Pacheco Menezes";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-1-2018";"Fracionamento químico; Frações húmicas; Solos rasos; Pedologia;";"Manejo e Conservação do Solo"
"ctb0011";"Conjunto de dados da tese 'Mineralogia, morfologia e classificação de saprolitos e Neossolos derivados de rochas vulcânicas no Rio Grande do Sul'";"Fabrício de Araújo Pedron";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-1-2018";"Mineralogia de solos; Gênese de solos; Morfologia de solos; Classificação de solos; Neossolos; Saprolitos; Pedologia;";"Gênese, Morfologia e Classificação dos Solos"
"ctb0012";"Conjunto de dados da dissertação 'Impacto do uso da terra nos atributos químicos e físicos de solos do rebordo do planalto - RS'";"Jovani Zalamena";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-01-2018";"Qualidade do solo; Sustentabilidade das terras; Degradação ambiental; Espectroscopia de RMN 13C; Qualidade da matéria orgânica";"Manejo e Conservação do Solo"
"ctb0013";"Conjunto de dados da dissertação 'Caracterização química dos efluentes gerados pelo aterro controlado de Santa Maria e retenção de chumbo e zinco por um Argissolo da depressão central do Rio Grande do Sul'";"Andressa Lauermann";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.2.1";"09/03/2019";"Poluição da água; Contaminação do solo; Resíduos sólidos urbanos; Chorume";"Química do Solo"
"ctb0014";"Conjunto de dados da tese 'Modelagem do terreno e mapeamento digital de solos por extrapolação das relações solo-paisagem'";"Mário Sérgio Wolski";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-01-2018";"Mapeamento convencional de solos; Mapeamento preditivo do solo; Área de referência; Atributos de terreno";"Gênese, Morfologia e Classificação dos Solos"
"ctb0015";"Suscetibilidade magnética na estimativa de atributos do solo e identificação de compartimentos da paisagem em Latossolos de basalto no planalto do RS";"Priscila Vogelei Ramos";"Universidade Federal de Santa Maria (UFSM)";"CC BY 4.0";"2.1";"29-01-2018";"Pedometria; Variabilidade espacial; Split Moving Window";"Gênese, Morfologia e Classificação dos Solos"
"ctb0016";"Conjunto de dados da tese 'Matéria orgânica e características físicas, químicas, mineralógicas e espectrais de Latossolos de diferentes ambientes'";"Ricardo Simão Diniz Dalmolin";"Universidade Federal do Rio Grande do Sul (UFRGS)";"CC BY 4.0";"2.1";"29-01-2018";"Ácido clorídrico; Ditionito; Oxalato";"Gênese, Morfologia e Classificação dos Solos"
"ctb0017";"Conjunto de dados do trabalho 'Solos da bacia hidrográfica do rio Uberaba'";"João Chrisóstomo Pedroso Neto";"Empresa de Pesquisa Agropecuária de Minas Gerais (EPAMIG)";"CC BY 4.0";"2.1";"29-01-2018";"Rio Uberaba; Cerrado";"Gênese, Morfologia e Classificação dos Solos"
"ctb0018";"Conjunto de dados do 'Projeto Caldeirão: caracterização e gênese das Terras Pretas de Índio na Amazônia'";"Wenceslau Geraldes Teixeira";"Embrapa Solos";"CC BY 4.0";"2.4.1";"09/03/2019";"Solos da Amazônia; Anthrsols; Terra Preta de Índio";"Gênese, Morfologia e Classificação dos Solos"
"ctb0019";"Conjunto de dados do artigo 'A mosaic of nonallophanic Andosols, Umbrisols and Cambisols on rhyodacite in the southern Brazilian highlands'";"Alexander Dümig";"Technische Universität München (TUM)";"CC BY 4.0";"2.1";"29/01/2018";"Andic properties; Pedogenesis; Soil classification; Organo-metallic complexes; Grassland; Vegetation effects";"Gênese, Morfologia e Classificação dos Solos"
"ctb0022";"Levantamento semidetalhado de solos do Município de Londrina";"Itamar Antonio Bognola";"Instituto Agrononômico do Paraná";"CC BY 4.0";"1.2.0";"29-11-2019";"Classificação; Mapeamento; Solos; Reconhecimento do solo";"Gênese, Morfologia e Classificação dos Solos"
"ctb0023";"Conjunto de dados da dissertação 'Características e Gênense de uma Sequência de Solos nas Ecostas do Nordeste do Rio Grande do Sul'";"Sandra Barreto de Queiroz";"Universidade Federal do Rio Grande do Sul (UFRGS)";"CC BY 4.0";"2.1";"29/01/2018";NA;"Gênese, Morfologia e Classificação dos Solos"
