"dataset_id";"observacao_id";"r"
"ctb0022";"L16";TRUE
"ctb0022";"L34";TRUE
"ctb0022";"L35";TRUE
"ctb0565";"Perfil-16";TRUE
"ctb0565";"Perfil-17";TRUE
"ctb0565";"Perfil-5";TRUE
"ctb0565";"Perfil-7";TRUE
"ctb0566";"Perfil-15";TRUE
"ctb0572";"Perfil-002";TRUE
"ctb0572";"Perfil-040";TRUE
"ctb0574";"GB-38";TRUE
"ctb0574";"GB-39";TRUE
"ctb0574";"GB-41";TRUE
"ctb0574";"GB-56";TRUE
"ctb0577";"Lontras-05";TRUE
"ctb0577";"Lontras-06";TRUE
"ctb0579";"ÁguasFrias-05";TRUE
"ctb0579";"ÁguasFrias-07";TRUE
"ctb0579";"ÁguasFrias-15";TRUE
"ctb0586";"Canoinhas-09";TRUE
"ctb0589";"4-(05)";TRUE
"ctb0600";"TS-8";TRUE
"ctb0602";"4-XXX-CBCS";TRUE
"ctb0607";"PERFIL-104";TRUE
"ctb0607";"PERFIL-105";TRUE
"ctb0607";"PERFIL-106";TRUE
"ctb0607";"PERFIL-111";TRUE
"ctb0607";"PERFIL-112";TRUE
"ctb0607";"PERFIL-15";TRUE
"ctb0607";"PERFIL-21";TRUE
"ctb0607";"PERFIL-98";TRUE
"ctb0608";"03-V-RCC";TRUE
"ctb0615";"Orleans-10";TRUE
"ctb0617";"Perfil-29";TRUE
"ctb0617";"Perfil-50";TRUE
"ctb0631";"PC-117";TRUE
"ctb0631";"PC-130";TRUE
"ctb0631";"PC-35";TRUE
"ctb0631";"PC-64";TRUE
"ctb0631";"PC-65";TRUE
"ctb0631";"PC-68";TRUE
"ctb0631";"PC-72";TRUE
"ctb0631";"PC-73";TRUE
"ctb0631";"PC-74";TRUE
"ctb0631";"PC-76";TRUE
"ctb0631";"PC-79";TRUE
"ctb0631";"PC-81";TRUE
"ctb0631";"PC-82";TRUE
"ctb0631";"PC-83";TRUE
"ctb0631";"PC-84";TRUE
"ctb0631";"PC-88";TRUE
"ctb0631";"Perfil-63";TRUE
"ctb0637";"Perfil-98";TRUE
"ctb0642";"Perfil-72";TRUE
"ctb0645";"Perfil-118";TRUE
"ctb0645";"Perfil-138";TRUE
"ctb0645";"Perfil-150";TRUE
"ctb0645";"Perfil-163";TRUE
"ctb0647";"Perfil-24";TRUE
"ctb0648";"Perfil-23";TRUE
"ctb0648";"Perfil-25";TRUE
"ctb0648";"Perfil-35";TRUE
"ctb0654";"03-V-RCC";TRUE
"ctb0656";"Perfil-33";TRUE
"ctb0656";"Perfil-46";TRUE
"ctb0657";"194";TRUE
"ctb0657";"209";TRUE
"ctb0657";"211";TRUE
"ctb0661";"P107";TRUE
"ctb0661";"P28";TRUE
"ctb0662";"P28";TRUE
"ctb0662";"P88";TRUE
"ctb0668";"AMOSTRA-EX-24";TRUE
"ctb0675";"PERFIL-11";TRUE
"ctb0675";"PERFIL-41";TRUE
"ctb0675";"PERFIL-6";TRUE
"ctb0675";"PERFIL-61";TRUE
"ctb0675";"PERFIL-63";TRUE
"ctb0678";"19";TRUE
"ctb0678";"82";TRUE
"ctb0679";"Perfil-274";TRUE
"ctb0683";"39";TRUE
"ctb0685";"10";TRUE
"ctb0685";"Extra-69";TRUE
"ctb0691";"16";TRUE
"ctb0694";"49";TRUE
"ctb0695";"PERFIL-13";TRUE
"ctb0695";"PERFIL-17";TRUE
"ctb0695";"PERFIL-22";TRUE
"ctb0699";"PERFIL-12";TRUE
"ctb0699";"PERFIL-4";TRUE
"ctb0701";"3";TRUE
"ctb0704";"8";TRUE
"ctb0705";"12";TRUE
"ctb0709";"25";TRUE
"ctb0709";"64";TRUE
"ctb0711";"47";TRUE
"ctb0753";"99";TRUE
"ctb0758";"277";TRUE
"ctb0762";"255";TRUE
"ctb0763";"224";TRUE
"ctb0766";"50";TRUE
"ctb0767";"54";TRUE
"ctb0768";"243";TRUE
"ctb0769";"33";TRUE
"ctb0770";"E119";TRUE
"ctb0770";"E70";TRUE
"ctb0773";"1";TRUE
"ctb0775";"1";TRUE
"ctb0775";"59";TRUE
"ctb0777";"14-EXTRA";TRUE
"ctb0777";"17-EXTRA";TRUE
"ctb0777";"35";TRUE
"ctb0778";"P1";TRUE
"ctb0778";"P2";TRUE
"ctb0779";"PERFIL-21-BA";TRUE
"ctb0784";"Exame-100";TRUE
"ctb0784";"Exame-50";TRUE
"ctb0787";"75";TRUE
"ctb0788";"12-EXTRA";TRUE
"ctb0791";"2";TRUE
"ctb0794";"01-EXTRA";TRUE
"ctb0794";"6";TRUE
"ctb0797";"RS-128";TRUE
"ctb0797";"RS-164";TRUE
"ctb0801";"1597";TRUE
"ctb0808";"GB-38";TRUE
"ctb0808";"GB-39";TRUE
"ctb0808";"GB-41";TRUE
"ctb0808";"GB-56";TRUE
"ctb0809";"Exame-39";TRUE
"ctb0815";"E3";TRUE
"ctb0815";"E52";TRUE
"ctb0815";"E56";TRUE
"ctb0815";"E57";TRUE
"ctb0815";"E63";TRUE
"ctb0820";"P-3";TRUE
"ctb0820";"P-4";TRUE
"ctb0821";"P44";TRUE
"ctb0821";"P6";TRUE
"ctb0822";"E4";TRUE
"ctb0826";"P24";TRUE
"ctb0826";"PC33";TRUE
"ctb0826";"PC34";TRUE
"ctb0829";"P98";TRUE
"ctb0831";"E4";TRUE
"ctb0832";"175";TRUE
"ctb0832";"E-Rio-39";TRUE
"ctb0832";"E-Rio-5";TRUE
"ctb0832";"E-Rio-72";TRUE
"ctb0832";"NH12P";TRUE
"ctb0832";"NH21";TRUE
